group,detailPage,name,subjectId,canton
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361961,Borer Roland F.,10.089 10.3889,SO
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361957,Lang Josef,10.089 10.3889,ZG
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361966,Borer Roland F.,10.089 10.3889,SO
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#362061,Zuppiger Bruno,10.089 10.3889,ZH
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361970,Kiener Nellen Margret,10.089 10.3889,BE
RL,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362142,Fluri Kurt,06.490,SO
S,/ab/data/d/n/4820/361828/d_n_4820_361828_362031.htm#362171,Leutenegger Oberholzer Susanne,06.490,BL
V,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365508,Kaufmann Hans,11.028,ZH
S,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365520,Fehr Hans-Jürg,11.028,SH
RL,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365556,Pelli Fulvio,11.028,TI
CEg,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365523,Bischof Pirmin,11.028,SO
RL,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365513,Müller Philipp,11.028,AG
S,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365507,Fehr Hans-Jürg,11.028,SH
RL,/ab/data/d/n/4820/365479/d_n_4820_365479_365480.htm#365518,Müller Philipp,11.028,AG
RL,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362257,Müller Philipp,11.028,AG
CEg,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362331,Darbellay Christophe,11.028,VS
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362298,Baader Caspar,11.028,BL
G,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362320,Schelbert Louis,11.028,LU
G,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362364,Thorens Goumaz Adèle,11.028,VD
BD,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362317,Hassler Hansjörg,11.028,GR
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362335,Kaufmann Hans,11.028,ZH
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361974,Zuppiger Bruno,10.089 10.3889,ZH
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361969,Chopard-Acklin Max,10.089 10.3889,AG
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361985,Zuppiger Bruno,10.089 10.3889,ZH
CEg,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361995,Segmüller Pius,10.089 10.3889,LU
CEg,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361987,Glanzmann-Hunkeler Ida,10.089 10.3889,LU
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#362006,Allemann Evi,10.089 10.3889,BE
V,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361983,Zuppiger Bruno,10.089 10.3889,ZH
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361982,Allemann Evi,10.089 10.3889,BE
BD,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362341,Grunder Hans,11.028,BE
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362369,Kaufmann Hans,11.028,ZH
CEg,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362367,Bischof Pirmin,11.028,SO
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362355,Schwander Pirmin,11.028,SZ
CEg,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362371,Bischof Pirmin,11.028,SO
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362363,Kaufmann Hans,11.028,ZH
CEg,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362373,Bischof Pirmin,11.028,SO
S,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362389,Leutenegger Oberholzer Susanne,11.028,BL
RL,/ab/data/d/n/4820/360838/d_n_4820_360838_360918.htm#360997,Ruey Claude,04.062,VD
CEg,/ab/data/d/n/4820/360838/d_n_4820_360838_360918.htm#360938,Weibel Thomas,04.062,ZH
G,/ab/data/d/n/4820/360838/d_n_4820_360838_360918.htm#360977,Prelicz-Huber Katharina,04.062,ZH
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361851,Voruz Eric,10.089 10.3889,VD
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#362025,Kiener Nellen Margret,10.089 10.3889,BE
BD,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#362038,Haller Vannini Ursula,10.089 10.3889,BE
CEg,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361780,Neirynck Jacques,10.089 10.3889,VD
S,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361795,Kiener Nellen Margret,10.089 10.3889,BE
G,/ab/data/d/n/4820/361591/d_n_4820_361591_361767.htm#361803,Lachenmeier-Thüring Anita,10.089 10.3889,BS
V,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362377,Baader Caspar,11.028,BL
S,/ab/data/d/n/4820/362183/d_n_4820_362183_362255.htm#362390,Leutenegger Oberholzer Susanne,11.028,BL
